player_name,runs,balls,dismissals,sixes,fours,wickets,runs_conceded,balls_bowled
VY Mahesh,12,21,1,0,0,17,423,286
L Ronchi,26,27,4,1,4,0,0,0
ST Jayasuriya,630,464,23,33,69,12,305,241
SM Pollock,119,104,7,6,9,11,267,232
AM Nayar,621,549,36,19,50,9,264,186
MA Khote,24,22,2,1,2,2,52,30
VS Yeligati,2,2,1,0,0,0,61,32
D Kalyankrishna,3,8,1,0,0,2,88,50
GC Smith,713,660,24,9,90,0,0,0
RR Sarwan,73,78,4,1,6,0,0,0
VRV Singh,4,3,2,0,1,11,471,326
Sohail Tanvir,20,20,2,0,2,17,216,214
S Chanderpaul,9,21,2,0,1,0,0,0
LRPL Taylor,918,776,33,39,59,0,24,13
A Kumble,27,41,3,0,2,38,849,775
DNT Zoysa,11,9,1,0,1,2,100,69
SD Chitnis,99,92,7,2,10,2,62,38
TM Srivastava,8,11,1,0,0,0,0,0
JA Morkel,812,609,35,45,49,77,2107,1589
B Chipli,261,236,14,7,26,0,20,6
DB Das,235,201,11,12,21,0,0,0
CRD Fernando,4,3,0,0,0,11,255,199
PR Shah,73,74,7,2,7,0,0,0
HH Gibbs,801,754,29,29,74,0,0,0
Gagandeep Singh,0,0,0,0,0,3,142,84
LPC Silva,40,27,2,1,5,0,21,6
DB Ravi Teja,341,295,17,9,30,1,28,18
DP Vijaykumar,1,1,0,0,0,4,205,159
Misbah-ul-Haq,117,81,6,6,10,0,0,0
BJ Hodge,1108,933,36,34,96,15,273,207
Umar Gul,30,13,1,4,1,7,131,102
YV Takawale,192,183,8,3,26,0,0,0
DJ Thornely,39,48,2,2,2,3,40,44
RR Raje,20,18,1,1,1,6,214,144
SP Fleming,183,157,8,3,25,0,0,0
S Vidyut,85,70,6,2,13,1,22,13
M Ntini,11,19,1,0,2,5,204,165
SA Asnodkar,358,314,18,9,45,0,0,0
U Kaul,0,1,0,0,0,0,0,0
DT Patil,13,13,2,0,1,0,0,0
S Anirudha,136,121,8,7,9,0,0,0
CK Kapugedera,16,24,3,0,0,0,49,17
L Balaji,21,38,7,0,1,67,1923,1451
A Chopra,40,57,5,0,5,0,0,0
T Taibu,24,17,2,0,3,0,0,0
J Arunkumar,23,24,3,0,5,0,0,0
NK Patel,121,124,4,1,14,0,0,0
Salman Butt,114,95,4,2,17,0,0,0
TM Dilshan,1095,986,39,24,130,4,340,257
AD Mascarenhas,79,79,9,1,5,14,336,285
LA Pomersbach,262,201,10,12,23,0,0,0
SR Tendulkar,2104,1833,64,26,271,0,38,25
RR Powar,36,36,2,0,2,11,435,355
Younis Khan,3,7,1,0,0,0,0,0
PM Sarvesh Kumar,1,2,0,0,0,1,42,31
Shoaib Akhtar,2,8,1,0,0,1,43,27
RV Pawar,0,0,0,0,0,0,0,0
Abdur Razzak,0,2,0,0,0,0,29,14
H Das,2,5,1,0,0,0,0,0
A Nel,0,0,1,0,0,1,31,18
A Mukund,19,23,2,0,1,0,0,0
BAW Mendis,3,6,2,0,0,8,306,248
A Flintoff,62,57,2,2,5,2,106,66
T Thushara,12,19,2,0,0,8,164,144
T Henderson,11,16,2,1,0,1,41,36
Kamran Khan,3,5,1,0,0,10,248,177
JD Ryder,516,388,22,17,55,8,247,199
KP Pietersen,950,707,25,39,86,7,201,168
DP Nannes,4,13,1,0,0,25,744,615
AM Salvi,0,0,0,0,0,5,134,107
RS Bopara,366,328,14,10,27,8,222,168
VS Malik,7,7,1,0,1,4,205,145
YA Abdulla,0,0,0,0,0,9,215,147
Harmeet Singh,15,8,3,0,3,22,608,474
FH Edwards,4,5,1,0,0,5,160,150
R Bishnoi,19,17,3,2,1,0,0,0
Yashpal Singh,47,67,4,0,5,0,0,0
PC Valthaty,443,377,20,17,54,6,172,129
RJ Quiney,103,105,7,3,12,0,0,0
AS Raut,163,140,8,5,12,0,45,30
KP Appanna,1,3,0,0,0,9,264,203
AA Bilakhia,69,88,5,0,5,0,0,0
Shoaib Ahmed,1,6,2,0,0,5,154,103
AN Ghosh,7,8,2,0,1,0,0,0
MN van Wyk,149,123,3,0,18,0,0,0
RE van der Merwe,157,141,11,8,11,18,439,393
TL Suman,552,488,28,22,43,6,190,146
S Tyagi,0,0,1,0,0,6,221,169
GR Napier,15,16,1,0,1,1,28,24
LA Carseldine,81,71,4,0,11,1,6,7
SM Harwood,9,14,0,0,0,3,74,67
RJ Harris,102,101,12,2,6,38,974,764
A Singh,2,8,3,0,0,25,556,425
M Morkel,106,84,11,4,10,70,1958,1556
D du Preez,10,13,1,0,0,1,24,18
GJ Bailey,610,498,24,19,53,0,0,0
C Nanda,0,1,1,0,0,2,58,50
A Mithun,34,26,5,1,4,7,477,312
SS Sarkar,0,0,0,0,0,1,34,25
J Botha,388,354,20,5,35,21,739,634
Jaskaran Singh,8,11,1,0,0,6,158,104
SS Shaikh,6,7,1,0,1,0,0,0
CK Langeveldt,8,9,2,1,0,13,199,165
Mohammad Ashraful,2,12,1,0,0,0,0,0
RA Shaikh,0,0,0,0,0,0,11,6
Anirudh Singh,63,69,4,1,6,0,0,0
CA Pujara,388,397,17,4,50,0,0,0
OA Shah,482,391,14,22,32,0,0,0
R Sathish,212,184,13,4,18,3,198,126
R McLaren,159,178,8,1,14,12,558,372
AG Murtaza,5,10,0,0,0,5,238,208
AA Jhunjhunwala,195,195,12,4,19,1,124,82
P Dogra,126,140,10,5,4,0,0,0
A Uniyal,4,7,1,0,0,2,67,38
SW Tait,23,25,2,1,1,18,590,461
RS Gavaskar,2,8,1,0,0,0,8,6
S Ladda,0,10,1,0,0,5,211,135
MS Bisla,722,664,33,21,84,0,0,0
JM Kemp,4,9,1,0,0,3,31,27
SE Bond,1,2,1,0,0,8,192,166
MJ Lumb,229,162,10,6,36,0,0,0
DR Martyn,19,26,1,0,1,0,0,0
S Narwal,37,29,3,0,6,5,203,113
AB Barath,42,43,2,1,5,0,0,0
SJ Srivastava,5,4,0,0,0,11,320,234
FY Fazal,125,119,7,0,16,0,20,12
AC Voges,108,92,3,2,8,0,64,44
MD Mishra,175,161,13,5,19,0,0,0
R Sharma,51,60,10,2,4,36,957,809
Y Nagar,228,208,11,9,15,2,90,52
J Theron,8,9,1,0,1,9,202,160
NLTC Perera,328,255,17,19,17,27,850,577
KB Arun Karthik,51,53,5,1,4,0,0,0
KAJ Roach,10,9,1,0,1,0,80,52
PD Collingwood,201,154,4,13,9,5,74,66
AB McDonald,69,54,4,2,8,8,157,122
C Ganapathy,0,0,0,0,0,0,13,6
MB Parmar,0,0,0,0,0,0,33,19
DE Bollinger,21,23,1,1,1,34,653,556
SB Wagh,0,1,1,0,0,4,126,90
AP Dole,4,4,1,0,1,4,80,52
AN Ahmed,32,25,0,1,3,10,454,317
RS Sodhi,4,2,0,0,1,0,0,0
L Ablish,0,2,0,0,0,3,76,45
B Sumanth,29,34,1,0,3,0,0,0
S Sriram,27,31,1,0,3,0,24,12
AG Paunikar,34,46,4,0,7,0,0,0
ND Doshi,0,13,1,0,0,2,79,57
S Randiv,2,4,1,0,0,4,199,156
AL Menaria,338,313,18,16,19,3,134,111
RV Gomez,50,52,4,1,5,5,105,79
AUK Pathan,25,20,4,1,3,0,63,41
UBT Chand,300,309,19,9,32,0,0,0
DJ Jacobs,92,101,7,4,10,0,0,0
JEC Franklin,314,297,10,9,23,8,193,135
Sunny Singh,43,31,4,1,6,0,0,0
NJ Rimmington,1,1,0,0,0,0,20,18
BA Bhatt,6,7,1,1,0,12,408,303
AC Thomas,20,17,2,1,1,12,370,284
RN ten Doeschate,295,217,13,14,23,2,91,77
JJ van der Wath,4,6,2,0,0,1,85,51
R Ninan,3,6,1,0,0,1,34,18
DH Yagnik,132,112,8,2,17,0,0,0
BJ Haddin,18,11,1,1,2,0,0,0
J Syed Mohammad,29,27,2,0,4,8,286,196
NL McCullum,26,23,1,1,0,0,35,30
JE Taylor,3,4,1,0,0,6,167,122
KMDN Kulasekara,5,3,0,0,1,5,122,107
TR Birt,32,33,3,1,2,0,0,0
TD Paine,8,20,1,0,0,0,0,0
M Klinger,55,57,3,0,6,0,0,0
AC Blizzard,120,91,7,2,21,0,0,0
P Parameswaran,1,3,0,0,0,7,197,135
I Malhotra,7,4,0,0,1,0,23,6
CJ Ferguson,44,65,4,0,2,0,0,0
AA Kazi,0,0,0,0,0,0,21,13
Anand Rajan,0,0,0,0,0,8,195,150
P Prasanth,0,0,0,0,0,0,18,6
Y Gnaneswara Rao,19,18,1,0,3,0,7,6
AA Chavan,5,5,2,0,1,5,284,206
KH Devdhar,0,0,0,0,0,0,0,0
S Rana,73,66,3,1,7,0,16,12
SS Mundhe,0,0,0,0,0,1,6,7
RW Price,0,0,0,0,0,0,33,18
RE Levi,80,65,5,4,10,0,0,0
M de Lange,1,2,1,0,0,2,137,89
KK Cooper,107,63,8,8,8,27,597,471
DAJ Bracewell,12,9,0,0,1,3,32,25
DJ Harris,111,103,4,5,11,0,26,18
TP Sudhindra,0,0,0,0,0,1,137,74
GB Hogg,22,22,3,0,1,21,551,441
V Pratap Singh,0,1,1,0,0,10,300,211
CJ McKay,8,15,1,0,0,1,60,42
T Mishra,0,0,0,0,0,0,0,0
A Ashish Reddy,224,158,12,12,14,17,376,258
N Saini,140,143,10,0,16,0,0,0
Azhar Mahmood,382,303,18,13,38,29,666,532
P Awana,5,13,1,0,0,36,960,701
A Chandila,4,7,0,0,0,4,203,174
LJ Wright,97,53,3,2,16,0,86,43
RJ Peterson,32,32,3,1,3,3,70,48
R Shukla,19,23,1,0,2,5,192,118
BB Samantray,109,101,3,2,11,0,0,0
MJ Clarke,97,94,5,0,12,2,58,54
BW Hilfenhaus,0,0,0,0,0,22,497,390
PA Reddy,150,151,8,2,13,0,0,0
AP Majumdar,78,69,3,2,5,0,0,0
K Upadhyay,11,8,0,1,0,0,62,43
Sunny Gupta,0,1,1,0,0,0,47,19
MC Juneja,125,134,7,1,11,0,0,0
MDKJ Perera,14,13,2,0,3,0,0,0
BMAJ Mendis,23,27,3,0,0,1,36,30
R Rampaul,51,51,4,2,3,14,298,253
SMSM Senanayake,10,17,1,0,0,9,211,195
BJ Rohrer,193,146,7,5,21,0,12,7
CM Gautam,168,155,9,6,17,0,0,0
X Thalaivan Sargunam,10,17,1,0,0,0,0,0
DJG Sammy,200,173,11,14,7,5,269,170
P Suyal,0,0,0,0,0,2,154,107
UA Birla,0,0,0,0,0,0,0,0
PV Tambe,18,39,2,0,1,28,849,668
Parvez Rasool,16,16,1,0,1,3,249,176
IC Pandey,0,0,0,0,0,18,576,456
MG Neser,0,0,0,0,0,0,62,25
NJ Maddinson,20,21,3,0,4,0,0,0
BR Dunk,40,36,3,0,7,0,0,0
Shivam Sharma,5,3,1,0,1,4,165,114
VH Zol,29,26,2,1,3,0,0,0
K Santokie,0,0,0,0,0,3,91,51
BE Hendricks,1,3,1,0,0,8,228,145
JW Hastings,0,0,0,0,0,3,66,61
Karanveer Singh,12,17,1,0,1,12,323,213
DJ Muthuswami,0,0,0,0,0,4,94,78
SA Abbott,1,4,1,0,0,0,36,18
RG More,2,2,0,0,0,1,63,37
GS Sandhu,0,0,0,0,0,1,86,48
P Sahu,19,13,1,1,1,3,85,64
KJ Abbott,13,7,0,1,0,0,92,56
PSP Handscomb,6,12,1,0,0,0,0,0
SM Boland,0,0,0,0,0,2,56,43
UT Khawaja,127,105,6,3,14,0,0,0
F Behardien,14,12,1,0,2,0,0,0
ER Dwivedi,24,15,2,2,2,0,0,0
