player_name,runs,balls,dismissals,sixes,fours,wickets,runs_conceded,balls_bowled
Mohammed Siraj,82,110,10,2,7,110,3436,2421
SE Marsh,2127,1638,56,65,232,0,0,0
Gurkeerat Singh,372,314,19,9,38,5,97,82
JP Faulkner,488,376,25,23,31,49,1675,1148
Shakib Al Hasan,753,620,38,20,70,55,1689,1357
Washington Sundar,801,620,37,23,76,33,1345,1029
AD Nath,90,99,10,2,7,0,0,0
SS Agarwal,0,0,0,0,0,1,42,24
NB Singh,0,0,0,0,0,1,18,25
KV Sharma,299,251,21,16,16,70,1935,1378
MG Johnson,155,157,12,7,9,58,1590,1182
DM Bravo,6,5,0,0,1,0,0,0
Ankit Soni,7,9,2,1,0,2,145,112
AR Bawne,12,12,0,0,1,0,0,0
K Rabada,212,208,17,9,17,126,2914,2014
SP Jackson,48,42,4,1,5,0,0,0
MJ Guptill,225,162,10,12,21,0,0,0
Anureet Singh,33,41,3,1,2,15,576,387
IK Pathan,1052,898,48,37,80,71,2331,1860
PJ Sangwan,20,41,7,0,1,33,1097,772
MN Samuels,159,161,12,7,9,9,258,197
LMP Simmons,963,781,25,38,100,1,34,18
CA Lynn,1144,845,36,55,118,0,0,0
AS Rajpoot,24,35,5,1,2,19,726,491
R Tewatia,1181,910,53,53,103,29,1028,783
MJ Henry,7,10,2,0,1,4,314,166
SS Tiwary,1392,1209,46,48,103,0,0,0
R Vinay Kumar,269,250,24,7,18,90,2584,1864
HV Patel,267,238,30,15,16,123,3306,2299
Avesh Khan,53,40,3,2,7,82,2407,1592
IR Jaggi,76,100,5,0,6,0,0,0
CJ Jordan,68,73,9,3,1,28,1026,660
E Lewis,594,445,21,31,59,0,0,0
M Markande,20,19,2,0,2,35,1046,701
DJ Bravo,1424,1137,66,60,115,170,3996,2995
MA Wood,2,7,2,0,0,6,101,77
C Munro,161,127,11,8,18,0,15,12
KL Rahul,4826,3565,110,203,418,0,0,0
R Ashwin,724,629,57,26,55,170,5023,4296
Mujeeb Ur Rahman,12,15,3,0,2,20,626,465
Q de Kock,3059,2295,96,126,298,0,0,0
SN Khan,680,500,30,19,79,0,6,2
K Khejroliya,0,0,0,0,0,5,252,138
RK Singh,1312,954,41,62,106,0,0,0
AD Russell,2466,1494,85,212,170,107,2595,1678
TK Curran,127,108,5,3,10,13,432,252
DJM Short,111,97,6,5,10,1,10,6
K Gowtham,196,110,12,14,13,19,682,502
S Gopal,135,124,11,2,14,44,1213,866
B Laughlin,4,9,1,0,0,9,238,144
A Dananjaya,4,5,0,0,0,0,47,25
Shubman Gill,3988,2903,101,138,372,0,0,0
Shivam Mavi,50,54,8,2,4,25,777,572
M Vijay,2396,1991,90,84,227,0,33,19
H Klaasen,1943,1205,45,114,133,0,0,0
RK Bhui,7,20,3,0,0,0,0,0
JC Archer,271,179,19,19,13,72,1804,1384
PP Shaw,1714,1203,69,55,216,0,0,0
LE Plunkett,1,3,1,0,0,4,201,134
JP Duminy,1813,1473,45,76,107,22,786,665
AD Hales,148,119,6,6,13,0,0,0
MK Lomror,377,308,23,21,18,1,110,82
IS Sodhi,0,0,0,0,0,5,157,139
M Ashwin,29,38,7,1,1,27,982,761
KM Asif,0,2,1,0,0,7,232,143
L Ngidi,4,9,2,0,0,40,848,619
DR Shorey,13,20,2,1,0,0,0,0
DJ Willey,53,64,2,0,7,6,277,221
M Prasidh Krishna,15,31,3,0,1,80,2275,1566
MM Ali,1104,813,49,65,88,32,953,772
SP Goswami,226,239,17,3,27,0,0,0
P Chopra,8,6,1,0,2,0,0,0
JPR Scantlebury-Searles,8,6,1,1,0,2,89,45
Abhishek Sharma,2176,1342,72,134,201,11,545,367
S Lamichhane,0,1,1,0,0,10,225,168
CJ Dala,0,0,0,0,0,0,34,19
KK Ahmed,2,9,5,0,0,74,2157,1505
SO Hetmyer,1312,938,48,81,77,0,0,0
